"","UWI","Source","Survey.ID","Depth.Measured","Depth.True.Vertical","Drift.Angle","Drift.Direction","North.South.Coordinate.Distance","North.South.Coordinate.Direction","East.West.Coordinate.Distance","East.West.Coordinate.Direction","Type","Point.Type.Name","PRODFit.Formation.Code","PRODFit.Formation.Name","Surface_longitude","Surface_Latitude","Well.Name","Lease","ns_meter","ew_meter","LatitudeVector","LongitudeVector","UWI_10","MaxDepth","year","RowOrder","Nearest Distance","Formation"
"6495","42317409800000","PI","1",12077,-8541.41,90.98,346.97,3489.04,"N",499.84,"W",NA,NA,NA,NA,-101.9614,32.3536,"PEELER C 14JM","PEELER",1063.459,-152.3512,32.36316,-101.963,4231740980,-8561.56,NA,6495,63.76644,"WFMPA"
"6496","42317409800000","PI","1",12172,-8540.65,89.93,347.64,3581.71,"N",520.72,"W",NA,NA,NA,NA,-101.9614,32.3536,"PEELER C 14JM","PEELER",1091.705,-158.7154,32.36341,-101.9631,4231740980,-8561.56,NA,6496,63.76644,"WFMPA"
"6497","42317409800000","PI","1",12266,-8541.23,89.36,347.82,3673.56,"N",540.69,"W",NA,NA,NA,NA,-101.9614,32.3536,"PEELER C 14JM","PEELER",1119.701,-164.8023,32.36366,-101.9631,4231740980,-8561.56,NA,6497,63.76644,"WFMPA"
"6498","42317409800000","PI","1",12361,-8541.11,90.79,347.84,3766.42,"N",560.72,"W",NA,NA,NA,NA,-101.9614,32.3536,"PEELER C 14JM","PEELER",1148.005,-170.9074,32.36392,-101.9632,4231740980,-8561.56,NA,6498,63.76644,"WFMPA"
"6499","42317409800000","PI","1",12455,-8540,90.56,347.44,3858.24,"N",580.84,"W",NA,NA,NA,NA,-101.9614,32.3536,"PEELER C 14JM","PEELER",1175.992,-177.04,32.36417,-101.9633,4231740980,-8561.56,NA,6499,63.76644,"WFMPA"
"6500","42317409800000","PI","1",12550,-8539.56,89.97,347.43,3950.96,"N",601.5,"W",NA,NA,NA,NA,-101.9614,32.3536,"PEELER C 14JM","PEELER",1204.253,-183.3372,32.36442,-101.9633,4231740980,-8561.56,NA,6500,63.76644,"WFMPA"
"6501","42317409800000","PI","1",12646,-8541.17,88.11,347.45,4044.65,"N",622.38,"W",NA,NA,NA,NA,-101.9614,32.3536,"PEELER C 14JM","PEELER",1232.809,-189.7014,32.36468,-101.9634,4231740980,-8561.56,NA,6501,63.76644,"WFMPA"
"6502","42317409800000","PI","1",12741,-8544.94,87.34,346.85,4137.19,"N",643.49,"W",NA,NA,NA,NA,-101.9614,32.3536,"PEELER C 14JM","PEELER",1261.015,-196.1357,32.36493,-101.9635,4231740980,-8561.56,NA,6502,63.76644,"WFMPA"
"6503","42317409800000","PI","1",12835,-8548.25,88.63,346.83,4228.67,"N",664.88,"W",NA,NA,NA,NA,-101.9614,32.3536,"PEELER C 14JM","PEELER",1288.899,-202.6554,32.36518,-101.9635,4231740980,-8561.56,NA,6503,63.76644,"WFMPA"
"6504","42317409800000","PI","1",12929,-8549.49,89.86,346.56,4320.13,"N",686.51,"W",NA,NA,NA,NA,-101.9614,32.3536,"PEELER C 14JM","PEELER",1316.776,-209.2483,32.36543,-101.9636,4231740980,-8561.56,NA,6504,63.76644,"WFMPA"
