ENDEAVOR ENERGY RESOURCES
XTO ENERGY
XTO ENERGY
XTO ENERGY
XTO ENERGY
XTO ENERGY
ENCANA
PARSLEY ENERGY OPERATIONS
CIMAREX
CIMAREX
BEACON E&P RESOURCES
PDC PERMIAN
EOG RESOURCES
SHARP IMAGE ENERGY
SOJOURNER DRILLING
SUNDOWN ENERGY
BLACKBEARD OPERATING
XTO ENERGY
XTO ENERGY
XTO ENERGY
XTO ENERGY
XTO ENERGY
XTO ENERGY
XTO ENERGY
SCHENK OIL
PARSLEY ENERGY OPERATIONS
ENCANA
ENCANA
ENCANA
HARMONIA PETROLEUM
HAIMO O&G
SURGE OPERATING
TRACKER RESOURCE DEV III
PIONEER
ENDEAVOR ENERGY RESOURCES
ENDEAVOR ENERGY RESOURCES
WINCHESTER ENERGY
KINDER MORGAN TEJAS PIPELINE
KINDER MORGAN TEJAS PIPELINE
L C S PRODUCTION COMPANY
L C S PRODUCTION COMPANY
SOJOURNER DRILLING
PARSLEY ENERGY OPERATIONS
PARSLEY ENERGY OPERATIONS
PARSLEY ENERGY OPERATIONS
SUNDOWN ENERGY
FELIX ENERGY HOLDINGS II
CRAIG BOB
PARSLEY ENERGY OPERATIONS
PARSLEY ENERGY OPERATIONS
PDC PERMIAN
XTO ENERGY
XTO ENERGY
XTO ENERGY
XTO ENERGY
FLAGCO ENERGY
APACHE
CHEVRON
CHEVRON
DEVON
DEVON
FASKEN
MCCLURE OIL COMPANY
PARSLEY ENERGY OPERATIONS
ENCANA
ENCANA
HUNT OIL COMPANY
HUNT OIL COMPANY
HUNT OIL COMPANY
HUNT OIL COMPANY
PARSLEY ENERGY OPERATIONS
CROWNQUEST OPERATING
CROWNQUEST OPERATING
SURGE OPERATING
HANNATHON PETROLEUM
BORDERLINE OPERATING
ANADARKO
EOG RESOURCES
EOG RESOURCES
LARIO OIL&GAS
LARIO OIL&GAS
CHEVRON
ENDEAVOR ENERGY RESOURCES
ENDEAVOR ENERGY RESOURCES
PARSLEY ENERGY OPERATIONS
CIMAREX
EXL PETROLEUM
JETTA PERMIAN
ANTLE OPERATING
BANNER OPERATING
APACHE
APACHE
APACHE
APACHE
APACHE
APACHE
ANADARKO
ANADARKO
WISHBONE O&G
CAPSTONE NATURAL RESOURCES
CINNABAR OPERATING
SURGE OPERATING
SEM OPERATING COMPANY
ATMOS ENERGY CORP  MID-TEX DIV
DEVON
APACHE
KINDER MORGAN TEJAS PIPELINE
KINDER MORGAN TEJAS PIPELINE
ANADARKO
STEPHENS&JOHNSON OP
INTERSTATE EXPLORATIONS
PARSLEY ENERGY OPERATIONS
PARSLEY ENERGY OPERATIONS
DIAMONDBACK E&P
DIAMONDBACK E&P
EP ENERGY
SEM OPERATING COMPANY
THREE RIVERS OPER CO III
CHEVRON
CHEVRON
THREE RIVERS OPER CO III
CONCHO O&G
SHERIDAN PRODUCTION COMPANY
RSP PERMIAN
PARSLEY ENERGY OPERATIONS
HUNT OIL COMPANY
EAGLE HYDROCARBONS
SURGE OPERATING
SURGE OPERATING
SURGE OPERATING
SURGE OPERATING
SURGE OPERATING
ARES ENERGY
ARES ENERGY
SHELL OIL
ANADARKO
ANADARKO
ANADARKO
SHELL OIL
SHELL OIL
SHELL OIL
SHELL OIL
SHELL OIL
SHELL OIL
SHELL OIL
SHELL OIL
ANADARKO
ANADARKO
PIONEER
PIONEER
PIONEER
PIONEER
XTO ENERGY
XTO ENERGY
XTO ENERGY
ENDEAVOR ENERGY RESOURCES
ENDEAVOR ENERGY RESOURCES
ENDEAVOR ENERGY RESOURCES
ENDEAVOR ENERGY RESOURCES
ENDEAVOR ENERGY RESOURCES
ENDEAVOR ENERGY RESOURCES
ENDEAVOR ENERGY RESOURCES
PERMIAN DEEP ROCK OIL CO
ENDEAVOR ENERGY RESOURCES
ENDEAVOR ENERGY RESOURCES
ENDEAVOR ENERGY RESOURCES
PARSLEY ENERGY OPERATIONS
BOLD OPERATING
BOLD OPERATING
PARSLEY ENERGY OPERATIONS
PARSLEY ENERGY OPERATIONS
CALLON PETROLEUM
CENTENNIAL RESOURCE PROD
CHEVRON
CHEVRON
CHEVRON
RKI EXPLORATION&PRODUCTION
RKI EXPLORATION&PRODUCTION
RKI EXPLORATION&PRODUCTION
RKI EXPLORATION&PRODUCTION
RKI EXPLORATION&PRODUCTION
EOG RESOURCES
CENTENNIAL RESOURCE PROD
RESOLUTE NATURAL RES
RESOLUTE NATURAL RES
APACHE
EOG RESOURCES
SHELL OIL
APACHE
APACHE
APACHE
PV OIL SERVICES
CALLON PETROLEUM
ANADARKO
ANADARKO
ANADARKO
CALLON PETROLEUM
XTO ENERGY
SHELL OIL
SHELL OIL
SHELL OIL
SHELL OIL
LAKOTA ENERGY
WISHBONE O&G
STEWARD ENERGY II
FOUR H OIL PROPERTIES
DRY FORK PRODUCTION
DEVON
OXY USA
OXY USA
CAPSTONE NATURAL RESOURCES
RSP PERMIAN
HUNT OIL COMPANY
RSP PERMIAN
LANDMASTER PARTNERS
ANADARKO
ENERGEN
ENDEAVOR ENERGY RESOURCES
CHOLLA PETROLEUM
CHOLLA PETROLEUM
PIONEER
PIONEER
PIONEER
PIONEER
PIONEER
APACHE
CIMAREX
